Base,Dirección,Colonia,m2,Clasif.,Antigüedad,Clasif.,Elev,Est,Rec,Bañ,"Interior 
Exteriror",Balcón,Roof privado/ Patio interior,m2 Roof privado/ Patio interior,Amenidades,Bodega,Cuarto de servicio,Jaula de tendido,Seguridad,Costo Mantenimiento,Precio de venta,Sin Estacionamiento,$/m2,$/m2 (-5%),$/m2 sin est,Link
CK Leads,providencia 511,Del Valle Norte,80,2,39,7,Sí,1,2,2,Interior,,,,No,,,,Sí,1200,"$3,290,000","$3,167,179","$41,125","$39,069","$39,590",
CK Leads,"Gabriel mancera 1556, 403",Del Valle Sur,80,2,45,7,Sí,1,3,2,Interior,No,,,No,No,,,Sí,800,"$3,500,000","$3,377,179","$43,750","$41,563","$42,215",
CK Leads,Dr. Barragan 765,Narvarte Oriente,85,2,44,7,Sí,1,2,2,Interior,No,,,No,No,,,Sí,1900,"$3,478,000","$3,355,179","$40,918","$38,872","$39,473",
CK Leads,"Patricio Sanz 1104, Depto 6",Insurgentes San Borja,80,2,50,7,No,0,2,1,Interior ,No,,,No,Sí,No,,No,300,"$2,400,000","$2,277,179","$30,000","$28,500","$28,465",
CK Leads,Monte Alban 348,Narvarte Poniente,80,2,35,7,No,1,2,2,Interior,No,No,,No,No,Sí,No,Sí,1000,"$2,850,000","$2,727,179","$35,625","$33,844","$34,090",
CK Leads,Doctor Barragan 604,Narvarte Oriente,81,2,45,7,Sí,1,2,1,Interior,,,,No,,,,Sí,,"$2,460,000","$2,337,179","$30,370","$28,852","$28,854",
CK Leads,Union 71,Escandon II Seccion,81,2,15,4,Sí,1,2,2,Interior,,,,No,,,,Sí,1400,"$3,280,000","$3,157,179","$40,494","$38,469","$38,978",
CK Leads,Unión 162,Escandon I Seccion,81,2,15,4,Sí,2,2,2,Interior,,,,No,,,,Sí,1400,"$3,300,000","$3,177,179","$40,741","$38,704","$39,224",
CK Leads,Unión 162,Escandon I Seccion,81,2,14,4,Sí,1,2,2,,,,,,,,,Sí,1400,"$3,290,000","$3,167,179","$40,617","$38,586","$39,101",
CK Leads,Xochicalco 46,Piedad Narvarte,83,2,17,5,Sí,2,2,2,Exterior,,,,No,,,,Sí,1400,"$3,300,000","$3,177,179","$39,759","$37,771","$38,279",
CK Leads,José Ma. Vertiz 552,Narvarte Oriente,83,2,46,7,Sí,1,2,1,Interior,,,,,,,,,1000,"$2,300,000","$2,177,179","$27,711","$26,325","$26,231",
CK Leads,"Pirineos 239, departamento C-3",Santa Cruz Atoyac,83,2,40,7,No,1,2,2,Interior,Sí,,,No,No,,,Sí,750,"$3,450,000","$3,327,179","$41,566","$39,488","$40,086",
CK Leads,Patricio sanz 1802,Acacias,84,2,45,7,Sí,1,2,2,Interior,,,,No,,,,Sí,1200,"$3,300,000","$3,177,179","$39,286","$37,321","$37,824",
CK Leads,"Yucatán 75, depto 104",Roma Norte,85,2,12,4,Sí,2,2,2,Exterior,,,,Sí,,,,Sí,1500,"$3,500,000","$3,377,179","$41,176","$39,118","$39,732",
CK Leads,Av. Coyoacán 312,Del Valle Norte,85,2,55,8,No,0,2,1,Exterior,,,,No,,,,No,,"$2,300,000","$2,177,179","$27,059","$25,706","$25,614",
CK Leads,Calle 2 #24,San Pedro de los Pinos,86,2,15,4,No,1,3,2,Interior,,,,Sí,,,,Sí,1000,"$2,450,000","$2,327,179","$28,488","$27,064","$27,060",
CK Leads,Eje central lázaro Cárdenas 1120,San Simon Ticumac,86,2,35,7,No,0,2,1,Interior,,,,,,,,,350,"$2,150,000","$2,027,179","$25,000","$23,750","$23,572",
CK Leads,Eje central lázaro Cárdenas 1120,San Simon Ticumac,86,2,35,7,No,0,2,1,Interior,,,,,,,,,350,"$2,150,000","$2,027,179","$25,000","$23,750","$23,572",
CK Leads,Eje central 404,alamos,86,2,15,4,Sí,1,3,2,Exterior,,,,Sí,,,,Sí,1200,"$2,890,000","$2,767,179","$33,605","$31,924","$32,176",
CK Leads,lazaro cardenaz 217,portales norte,60,1,5,2,No,2,2,2,Exterior,,No,,No,Sí,Sí,No,Sí,550,"$2,845,000","$2,722,179","$47,417","$45,046","$45,370",
CK Leads,Chiapas 80,Roma Norte,88,2,28,6,No,0,2,1,Interior,,,,No,,,,No,450,"$3,290,000","$3,167,179","$37,386","$35,517","$35,991",
CK Leads,alhambra 602 int 102,Portales Norte,60,1,11,4,Sí,1,2,2,Exterior,,Si,5,No,Sí,No,No,Sí,1500,"$2,770,000","$2,647,179","$46,167","$43,858","$44,120",
